유량 (LPM),비드 높이 (mm),p_b,기대 비드 수,실측 평균 비드 수,평균 수압 (MPa),표준편차 (MPa),최솟값 (MPa),최댓값 (MPa),Pf (%),판정
1200,2.0,0.1,3.2,3.2,0.30635,0.000525,0.30316,0.306862,0.0,PASS
1200,2.0,0.3,9.6,9.6,0.305366,0.000717,0.30278,0.306862,0.0,PASS
1200,2.0,0.5,16.0,16.0,0.304455,0.000728,0.302501,0.306862,0.0,PASS
1200,2.0,0.7,22.4,22.4,0.303636,0.000635,0.302501,0.305962,0.0,PASS
1200,2.0,0.9,28.8,28.8,0.302861,0.000392,0.302501,0.304927,0.0,PASS
1200,2.5,0.1,3.2,3.2,0.304543,0.000718,0.300724,0.305276,0.0,PASS
1200,2.5,0.3,9.6,9.6,0.303158,0.000994,0.299737,0.305276,0.0,PASS
1200,2.5,0.5,16.0,16.0,0.301911,0.000987,0.29933,0.304908,0.0,PASS
1200,2.5,0.7,22.4,22.4,0.300783,0.000831,0.29933,0.303972,0.0,PASS
1200,2.5,0.9,28.8,28.8,0.299784,0.000491,0.29933,0.302599,0.0,PASS
1600,2.0,0.1,3.2,3.2,0.234797,0.000929,0.229262,0.235701,0.0,PASS
1600,2.0,0.3,9.6,9.6,0.233042,0.001268,0.228444,0.235701,0.0,PASS
1600,2.0,0.5,16.0,16.0,0.231415,0.001314,0.227948,0.235701,0.0,PASS
1600,2.0,0.7,22.4,22.4,0.229923,0.001116,0.227948,0.23416,0.0,PASS
1600,2.0,0.9,28.8,28.8,0.228595,0.000688,0.227948,0.231461,0.0,PASS
1600,2.5,0.1,3.2,3.2,0.231564,0.001291,0.225117,0.232883,0.0,PASS
1600,2.5,0.3,9.6,9.6,0.229091,0.001762,0.222312,0.232883,0.0,PASS
1600,2.5,0.5,16.0,16.0,0.226901,0.001784,0.222312,0.232184,0.0,PASS
1600,2.5,0.7,22.4,22.4,0.224861,0.001454,0.222312,0.230356,0.0,PASS
1600,2.5,0.9,28.8,28.8,0.223107,0.00086,0.222312,0.228013,0.0,PASS
2100,2.0,0.1,3.2,3.2,0.117136,0.001576,0.107603,0.118668,0.0,PASS
2100,2.0,0.3,9.6,9.6,0.114047,0.002196,0.106167,0.118668,0.0,PASS
2100,2.0,0.5,16.0,16.0,0.111313,0.002273,0.105313,0.118668,0.0,PASS
2100,2.0,0.7,22.4,22.4,0.108715,0.001921,0.105313,0.116096,0.0,PASS
2100,2.0,0.9,28.8,28.8,0.106414,0.001179,0.105313,0.112903,0.0,PASS
2100,2.5,0.1,3.2,3.2,0.111536,0.002222,0.100271,0.113813,0.0,PASS
2100,2.5,0.3,9.6,9.6,0.10733,0.003021,0.096732,0.113813,0.87,FAIL
2100,2.5,0.5,16.0,16.0,0.103482,0.002979,0.095604,0.113813,12.63,FAIL
2100,2.5,0.7,22.4,22.4,0.100047,0.002537,0.095604,0.109618,52.12,FAIL
2100,2.5,0.9,28.8,28.8,0.096969,0.00148,0.095604,0.104581,95.09,FAIL
