campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,bead_height_std_mm,terminal_mpa,pass_fail
C2,uni,2240.0,0.448,0,0.0,0.0,0.09432719295077255,FAIL
C2,uni,2240.0,0.45,0,0.0,0.0,0.09632719295077255,FAIL
C2,uni,2240.0,0.452,0,0.0,0.0,0.09832719295077255,FAIL
C2,uni,2240.0,0.454,0,0.0,0.0,0.10032719295077255,PASS
C2,uni,2240.0,0.456,0,0.0,0.0,0.10232719295077256,PASS
C2,uni,2240.0,0.458,0,0.0,0.0,0.10432719295077256,PASS
C2,uni,2240.0,0.46,0,0.0,0.0,0.10632719295077256,PASS
C2,uni,2240.0,0.462,0,0.0,0.0,0.10832719295077256,PASS
C2,uni,2240.0,0.464,0,0.0,0.0,0.11032719295077256,PASS
C2,uni,2240.0,0.466,0,0.0,0.0,0.11232719295077255,PASS
C2,uni,2240.0,0.468,0,0.0,0.0,0.11432719295077255,PASS
C2,uni,2240.0,0.47,0,0.0,0.0,0.1163271929507725,PASS
C2,uni,2240.0,0.472,0,0.0,0.0,0.1183271929507725,PASS
C2,uni,2240.0,0.474,0,0.0,0.0,0.1203271929507725,PASS
C2,bi,2240.0,0.448,0,0.0,0.0,0.08731098904354803,FAIL
C2,bi,2240.0,0.45,0,0.0,0.0,0.08931098904354803,FAIL
C2,bi,2240.0,0.452,0,0.0,0.0,0.09131098904354804,FAIL
C2,bi,2240.0,0.454,0,0.0,0.0,0.09331098904354804,FAIL
C2,bi,2240.0,0.456,0,0.0,0.0,0.09531098904354804,FAIL
C2,bi,2240.0,0.458,0,0.0,0.0,0.09731098904354804,FAIL
C2,bi,2240.0,0.46,0,0.0,0.0,0.09931098904354804,FAIL
C2,bi,2240.0,0.462,0,0.0,0.0,0.10131098904354804,PASS
C2,bi,2240.0,0.464,0,0.0,0.0,0.10331098904354805,PASS
C2,bi,2240.0,0.466,0,0.0,0.0,0.10531098904354805,PASS
C2,bi,2240.0,0.468,0,0.0,0.0,0.10731098904354805,PASS
C2,bi,2240.0,0.47,0,0.0,0.0,0.10931098904354794,PASS
C2,bi,2240.0,0.472,0,0.0,0.0,0.11131098904354793,PASS
C2,bi,2240.0,0.474,0,0.0,0.0,0.11331098904354793,PASS
