campaign,topology,total_flow_lpm,inlet_pressure_mpa,defect_count,bead_height_mm,head_position,terminal_mpa,baseline_terminal_mpa,delta_mpa
E1,uni,2240.0,0.471668,1,1.0,1,0.09921947468387228,0.09999981588880315,-0.0007803412049308678
E1,uni,2240.0,0.471668,1,1.0,2,0.09942650398313964,0.09999981588880315,-0.0005733119056635094
E1,uni,2240.0,0.471668,1,1.0,3,0.09857037080540133,0.09999981588880315,-0.0014294450834018146
E1,uni,2240.0,0.471668,1,1.0,4,0.09908497103542598,0.09999981588880315,-0.0009148448533771725
E1,uni,2240.0,0.471668,1,1.0,5,0.09885983658073748,0.09999981588880315,-0.0011399793080656695
E1,uni,2240.0,0.471668,1,1.0,6,0.097903280599755,0.09999981588880315,-0.002096535289048143
E1,uni,2240.0,0.471668,1,1.0,7,0.09947568206654112,0.09999981588880315,-0.0005241338222620323
E1,uni,2240.0,0.471668,1,1.5,1,0.09876779913114044,0.09999981588880315,-0.0012320167576627128
E1,uni,2240.0,0.471668,1,1.5,2,0.09909466071990809,0.09999981588880315,-0.0009051551688950554
E1,uni,2240.0,0.471668,1,1.5,3,0.09770669695211272,0.09999981588880315,-0.0022931189366904303
E1,uni,2240.0,0.471668,1,1.5,4,0.09853221976932126,0.09999981588880315,-0.0014675961194818843
E1,uni,2240.0,0.471668,1,1.5,5,0.0981480247394222,0.09999981588880315,-0.0018517911493809436
E1,uni,2240.0,0.471668,1,1.5,6,0.09649398183205164,0.09999981588880315,-0.0035058340567515056
E1,uni,2240.0,0.471668,1,1.5,7,0.09912335737461528,0.09999981588880315,-0.0008764585141878695
E1,uni,2240.0,0.471668,1,2.0,1,0.09826811415300919,0.09999981588880315,-0.0017317017357939557
E1,uni,2240.0,0.471668,1,2.0,2,0.09872754522577083,0.09999981588880315,-0.0012722706630323155
E1,uni,2240.0,0.471668,1,2.0,3,0.09672117152080907,0.09999981588880315,-0.003278644367994077
E1,uni,2240.0,0.471668,1,2.0,4,0.09790148349328694,0.09999981588880315,-0.0020983323955162114
E1,uni,2240.0,0.471668,1,2.0,5,0.09731592087783629,0.09999981588880315,-0.002683895010966858
E1,uni,2240.0,0.471668,1,2.0,6,0.09475235580352544,0.09999981588880315,-0.005247460085277711
E1,uni,2240.0,0.471668,1,2.0,7,0.09868795086748372,0.09999981588880315,-0.0013118650213194277
E1,bi,2240.0,0.471668,1,1.0,1,0.09220327077664771,0.09298361198157858,-0.0007803412049308678
E1,bi,2240.0,0.471668,1,1.0,2,0.09241030007591507,0.09298361198157858,-0.0005733119056635094
E1,bi,2240.0,0.471668,1,1.0,3,0.09155416689817673,0.09298361198157858,-0.0014294450834018424
E1,bi,2240.0,0.471668,1,1.0,4,0.0920687671282014,0.09298361198157858,-0.0009148448533771725
E1,bi,2240.0,0.471668,1,1.0,5,0.0918436326735129,0.09298361198157858,-0.0011399793080656695
E1,bi,2240.0,0.471668,1,1.0,6,0.09088707669253043,0.09298361198157858,-0.002096535289048143
E1,bi,2240.0,0.471668,1,1.0,7,0.09245947815931654,0.09298361198157858,-0.0005241338222620323
E1,bi,2240.0,0.471668,1,1.5,1,0.09175159522391586,0.09298361198157858,-0.0012320167576627128
E1,bi,2240.0,0.471668,1,1.5,2,0.09207845681268352,0.09298361198157858,-0.0009051551688950554
E1,bi,2240.0,0.471668,1,1.5,3,0.09069049304488815,0.09298361198157858,-0.0022931189366904303
E1,bi,2240.0,0.471668,1,1.5,4,0.09151601586209669,0.09298361198157858,-0.0014675961194818843
E1,bi,2240.0,0.471668,1,1.5,5,0.09113182083219763,0.09298361198157858,-0.0018517911493809436
E1,bi,2240.0,0.471668,1,1.5,6,0.08947777792482707,0.09298361198157858,-0.0035058340567515056
E1,bi,2240.0,0.471668,1,1.5,7,0.0921071534673907,0.09298361198157858,-0.0008764585141878695
E1,bi,2240.0,0.471668,1,2.0,1,0.09125191024578462,0.09298361198157858,-0.0017317017357939557
E1,bi,2240.0,0.471668,1,2.0,2,0.09171134131854626,0.09298361198157858,-0.0012722706630323155
E1,bi,2240.0,0.471668,1,2.0,3,0.0897049676135845,0.09298361198157858,-0.003278644367994077
E1,bi,2240.0,0.471668,1,2.0,4,0.09088527958606236,0.09298361198157858,-0.0020983323955162114
E1,bi,2240.0,0.471668,1,2.0,5,0.09029971697061172,0.09298361198157858,-0.002683895010966858
E1,bi,2240.0,0.471668,1,2.0,6,0.08773615189630087,0.09298361198157858,-0.005247460085277711
E1,bi,2240.0,0.471668,1,2.0,7,0.09167174696025915,0.09298361198157858,-0.0013118650213194277
