case_id,topology,branch_inlet_config,num_branches,heads_per_branch,active_heads,total_flow_lpm,inlet_pressure_mpa,bead_height_mm,bead_height_std_mm,defect_count,p_bead,mc_iterations,terminal_pressure_mpa,pressure_margin_mpa,pass_fail,loss_pipe_mpa,loss_fitting_mpa,loss_bead_mpa,required_extra_inlet_pressure_mpa,worst_branch_index,ranking_or_location_id,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high
S2,tree,80A-65A,4,8,16,1280.0,0.5314,0.0,,0,,0,0.421702624322251,,,,,,,,,0.421702624322251,0.0,,,,0.0,,
S2,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,1,,5000,,,,,,,,,,0.4215923393841502,0.00020822598540424128,0.4211293445880783,0.421702624322251,0.421702624322251,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,2,,5000,,,,,,,,,,0.421485129519988,0.0002846225561249561,0.4208261658080631,0.421702624322251,0.421702624322251,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,4,,5000,,,,,,,,,,0.4212430799326401,0.00038145980317040633,0.4205181616186474,0.4213003331360754,0.421702624322251,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,16,1280.0,0.5314,1.5,,8,,5000,,,,,,,,,,0.4207674066456146,0.0004892321463709411,0.41988598704401997,0.4208261658080631,0.421483509693704,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,24,1920.0,0.5314,0.0,,0,,0,0.28678953173913013,,,,,,,,,0.28678953173913013,0.0,,,,0.0,,
S2,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,1,,5000,,,,,,,,,,0.28655374334667966,0.00045451293997064544,0.2854996523372418,0.28678953173913013,0.28678953173913013,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,2,,5000,,,,,,,,,,0.28628337813491933,0.0006491661118354118,0.2848175000822074,0.28652075239298636,0.28678953173913013,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,4,,5000,,,,,,,,,,0.2857409966094054,0.0008802515496036905,0.28399197726499886,0.2858843765702351,0.28678953173913013,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,24,1920.0,0.5314,1.5,,8,,5000,,,,,,,,,,0.2846671051683233,0.0010792797636729,0.2827020978631105,0.2848066429110565,0.2862803819566267,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,30,2400.0,0.5314,0.0,,0,,0,0.1506911327384976,,,,,,,,,0.1506911327384976,0.0,,,,0.0,,
S2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,1,,5000,,,,,,,,,,0.15029847572684096,0.0007297770421466986,0.148675696173047,0.1506911327384976,0.1506911327384976,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,2,,5000,,,,,,,,,,0.14987934211087717,0.001026878434947619,0.14760983327455585,0.15020736975469334,0.1506911327384976,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,4,,5000,,,,,,,,,,0.1490574058461455,0.0013582507626869003,0.14631995387266744,0.14927682778709905,0.1506911327384976,0.0,0.0,0.000767730137580694
S2,tree,80A-65A,4,8,30,2400.0,0.5314,1.5,,8,,5000,,,,,,,,,,0.147324496035065,0.0017106392890903538,0.14430451730721683,0.14752287957303306,0.14989558620333593,0.0,0.0,0.000767730137580694
