campaign,topology,inlet_pressure_mpa,total_flow_lpm,bead_height_mm,bead_height_std_mm,mc_iterations,min_defects,max_defects,fail_rate,fail_rate_CI95_low,fail_rate_CI95_high,mean_terminal_mpa,std_terminal_mpa,P5_terminal_mpa,P50_terminal_mpa,P95_terminal_mpa
C,uni,0.532723,2240,1.0,0.5,5000,1,3,0.0,0.0,0.000768,0.200242,0.000748,0.198727,0.200705,0.200705
C,bi,0.532723,2240,1.0,0.5,5000,1,3,0.0,0.0,0.000768,0.19722,0.000914,0.195407,0.19743,0.19811
C,uni,0.532723,2240,1.5,0.75,5000,1,3,0.0,0.0,0.000768,0.199875,0.001319,0.197292,0.200705,0.200705
C,bi,0.532723,2240,1.5,0.75,5000,1,3,0.0,0.0,0.000768,0.196475,0.001639,0.193312,0.196849,0.19811
C,uni,0.532723,2240,2.0,1.0,5000,1,3,0.0,0.0,0.000768,0.199312,0.002241,0.195104,0.200357,0.200705
C,bi,0.532723,2240,2.0,1.0,5000,1,3,0.0,0.0,0.000768,0.195378,0.002792,0.189882,0.196079,0.19811
C,uni,0.532723,2240,2.5,1.25,5000,1,3,0.0,0.0,0.000768,0.198539,0.003608,0.192455,0.199864,0.200705
C,bi,0.532723,2240,2.5,1.25,5000,1,3,0.0,0.0,0.000768,0.193943,0.004515,0.186039,0.195048,0.19811
C,uni,0.532723,2560,1.0,0.5,5000,1,3,1.0,0.999232,1.0,0.099431,0.000892,0.097602,0.1,0.1
C,bi,0.532723,2560,1.0,0.5,5000,1,3,1.0,0.999232,1.0,0.095261,0.001191,0.092854,0.095521,0.096435
C,uni,0.532723,2560,1.5,0.75,5000,1,3,1.0,0.999232,1.0,0.098903,0.001717,0.095427,0.1,0.1
C,bi,0.532723,2560,1.5,0.75,5000,1,3,1.0,0.999232,1.0,0.09427,0.002201,0.09002,0.094807,0.096435
C,uni,0.532723,2560,2.0,1.0,5000,1,3,1.0,0.999232,1.0,0.098142,0.003006,0.092437,0.099472,0.1
C,bi,0.532723,2560,2.0,1.0,5000,1,3,1.0,0.999232,1.0,0.092796,0.00363,0.08592,0.093683,0.096435
C,uni,0.532723,2560,2.5,1.25,5000,1,3,1.0,0.999232,1.0,0.097083,0.005486,0.088915,0.098784,0.1
C,bi,0.532723,2560,2.5,1.25,5000,1,3,1.0,0.999232,1.0,0.090874,0.006475,0.079948,0.092457,0.096435
C,uni,0.532723,2880,1.0,0.5,5000,1,3,1.0,0.999232,1.0,-0.014729,0.001193,-0.017112,-0.014,-0.014
C,bi,0.532723,2880,1.0,0.5,5000,1,3,1.0,0.999232,1.0,-0.020183,0.001548,-0.02324,-0.019811,-0.018689
C,uni,0.532723,2880,1.5,0.75,5000,1,3,1.0,0.999232,1.0,-0.015388,0.002223,-0.019739,-0.014,-0.014
C,bi,0.532723,2880,1.5,0.75,5000,1,3,1.0,0.999232,1.0,-0.021388,0.002678,-0.026601,-0.020731,-0.018689
C,uni,0.532723,2880,2.0,1.0,5000,1,3,1.0,0.999232,1.0,-0.016425,0.00375,-0.023389,-0.014784,-0.014
C,bi,0.532723,2880,2.0,1.0,5000,1,3,1.0,0.999232,1.0,-0.023296,0.0046,-0.03214,-0.022154,-0.018689
C,uni,0.532723,2880,2.5,1.25,5000,1,3,1.0,0.999232,1.0,-0.017631,0.005914,-0.02881,-0.015343,-0.014
C,bi,0.532723,2880,2.5,1.25,5000,1,3,1.0,0.999232,1.0,-0.025891,0.007872,-0.039565,-0.023907,-0.018689
